このファイルの内容はすべて架空です
日付,摘要,出金,入金,残高,メモ
令和8年1月5日,架空文具店,1280,,198720,事務用品
R8.1.6,テスト振込,,50000,248720,架空入金
令和8年1月7日,架空交通サービス,860,,247860,移動費
R8.1.8,架空食堂,950,,246910,打合せ
令和8年1月9日,テスト手数料,220,,246690,
R8.1.10,架空市場,3240,,243450,消耗品
令和8年1月11日,テスト返金,,500,243950,返金
R8.1.12,架空印刷店,4800,,239150,印刷
令和8年1月13日,架空配送便,780,,238370,発送
R8.1.14,テスト売上,,36000,274370,架空入金
令和8年1月15日,架空喫茶,720,,273650,打合せ
R8.1.16,架空備品店,8900,,264750,備品
令和8年1月17日,テスト利用料,1200,,263550,
R8.1.18,架空書店,2640,,260910,資料
令和8年1月19日,テスト振込,,12500,273410,架空入金
R8.1.20,架空作業室,5500,,267910,利用料
令和8年1月21日,架空郵送窓口,430,,267480,郵送
R8.1.22,テスト利息,,18,267498,
令和8年1月23日,架空資材店,6780,,260718,資材
R8.1.24,架空清掃サービス,3300,,257418,清掃
